"experiment_id"	"Harvest.Date"	"Run"	"Plate"	"Column"	"Row"	"species"	"normalized_OD"	"qpcr_4plex_Cy5.356."	"qpcr_3plex_TR.360."	"qpcr_3plex_FAM.361."	"qpcr_4plex_FAM.492."	"qpcr_3plex_HEX.500."	"qpcr_4plex_TR.502."	"qpcr_4plex_HEX.519."	"nmr_row"	"nmr_column"	"nmr_rack"	"nmr_position"
"314B"	"1/12/2017"	"3"	1	4	"B"	"492"	0.002391668	NA	NA	NA	0.006358939	NA	NA	1.91267e-05	"D"	1	2	"2D1"
"332B"	"1/12/2017"	"3"	3	2	"B"	"356,492"	0.16669167	2.125952247	NA	NA	0.003817168	NA	NA	NA	"D"	2	2	"2D2"
"181B"	"1/10/2017"	"1"	8	1	"B"	"0"	0.000600001	1.72096e-08	NA	1.70623e-05	NA	NA	NA	2.43269e-05	"D"	3	2	"2D3"
"313B"	"1/12/2017"	"3"	1	3	"B"	"361"	0.033291662	NA	NA	0.695770787	NA	NA	NA	2.47617e-05	"D"	4	2	"2D4"
"281B"	"1/11/2017"	"2"	8	1	"B"	"0"	0.003866665	NA	NA	NA	NA	NA	NA	4.75128e-05	"D"	5	2	"2D5"
"323B"	"1/12/2017"	"3"	2	3	"B"	"519"	0.250191668	NA	NA	NA	NA	NA	NA	141.0705389	"D"	6	2	"2D6"
"253B"	"1/11/2017"	"2"	5	3	"B"	"361,492"	0.028358328	NA	NA	1.72919169	0.052042514	NA	NA	0.000302928	"D"	7	2	"2D7"
"331B"	"1/12/2017"	"3"	3	1	"B"	"356,361"	0.016591663	0.060986454	3.78693e-05	0.870517782	NA	NA	NA	NA	"D"	8	2	"2D8"
"221B"	"1/11/2017"	"2"	2	1	"B"	"500"	0.048458326	NA	NA	NA	NA	4.376371306	NA	NA	"D"	9	2	"2D9"
"342B"	"1/12/2017"	"3"	4	2	"B"	"360,361"	0.018391663	NA	0.053932079	0.715021086	NA	NA	NA	NA	"D"	10	2	"2D10"
"344B"	"1/12/2017"	"3"	4	4	"B"	"360,500"	0.006291667	1.19683e-07	0.572365717	NA	2.46033e-05	0.217449824	NA	1.68147e-05	"D"	11	2	"2D11"
"361B"	"1/12/2017"	"3"	6	1	"B"	"361,502"	0.017091671	2.34976e-07	NA	0.526783049	NA	NA	0.009460734	0.00016687	"D"	12	2	"2D12"
"273B"	"1/11/2017"	"2"	7	3	"B"	"500,519"	0.287558335	NA	NA	NA	NA	0.19578017	NA	71.3161391	"E"	1	2	"2E1"
"324B"	"1/12/2017"	"3"	2	4	"B"	"356,360"	0.168591658	3.993634785	0.265305006	2.23193e-05	NA	NA	NA	4.09612e-05	"E"	2	2	"2E2"
"351B"	"1/12/2017"	"3"	5	1	"B"	"360,502"	0.011891672	0.001728105	0.72446117	NA	NA	NA	0.008625436	0.000887854	"E"	3	2	"2E3"
"354B"	"1/12/2017"	"3"	5	4	"B"	"361,500"	0.014991665	3.73303e-07	NA	2.31560049	NA	0.058290524	NA	9.47827e-05	"E"	4	2	"2E4"
"352B"	"1/12/2017"	"3"	5	2	"B"	"360,519"	0.256591657	8.66351e-07	0.291473655	NA	NA	NA	0.000240885	70.7402059	"E"	5	2	"2E5"
"241B"	"1/11/2017"	"2"	4	1	"B"	"356,519"	0.291558343	5.455383006	NA	NA	NA	NA	NA	72.89730232	"E"	6	2	"2E6"
"251B"	"1/11/2017"	"2"	5	1	"B"	"360,502"	0.016258332	NA	0.928585019	NA	NA	NA	0.00849672	1.50403e-05	"E"	7	2	"2E7"
"254B"	"1/11/2017"	"2"	5	4	"B"	"361,500"	0.029658336	NA	NA	2.897233802	NA	0.084760965	NA	NA	"E"	8	2	"2E8"
"263B"	"1/11/2017"	"2"	6	3	"B"	"492,500"	0.099958333	NA	NA	NA	1.913242721	1.094462124	NA	NA	"E"	9	2	"2E9"
